solar_ratio,objective_value,drought_mass
0.0,-2243668905.02682,1785.0408312258778
0.05,-2273798334.045303,1686.3049655532925
0.1,-2303406809.617984,1479.0129140102244
0.15000000000000002,-2332395306.002243,1408.5301336396105
0.2,-2360632199.236031,1311.2375079362457
0.25,-2387987970.3230176,1279.7072198294616
0.30000000000000004,-2414249284.134244,651.6672544164081
0.35000000000000003,-2439278162.73218,612.8417038132002
0.4,-2462901281.006782,528.7744853124728
0.45,-2484521220.341759,397.8993611177652
0.5,-2503740442.4420166,313.6989601364582
0.55,-2520016119.163412,290.1100874570572
0.6000000000000001,-2533155230.835231,277.7574089916952
0.65,-2543060011.38844,227.21279730193154
0.7000000000000001,-2549925856.136434,219.8725501563081
0.75,-2554425548.1675105,217.654548167901
0.8,-2556654523.834975,216.6022082240794
0.8500000000000001,-2556963573.8827567,304.4214076158408
0.9,-2555502954.693953,362.9164437798902
0.9500000000000001,-2552452157.4515796,471.1886581966725
