solar_ratio,objective_value,drought_mass
0.0,-2198991549.789653,1896.7780144594883
0.05,-2226948992.6204314,1826.08294267186
0.1,-2254302324.8898015,1714.0027328647268
0.15000000000000002,-2280914575.680164,1562.9839387801449
0.2,-2306726475.110103,1388.9703430769134
0.25,-2331618854.506126,1266.8353246808917
0.30000000000000004,-2355344276.2469444,1147.308622555471
0.35000000000000003,-2377646738.98132,997.0647696862246
0.4,-2398444532.38878,882.9046809940318
0.45,-2417471087.127302,735.7264220357052
0.5,-2434346098.1958747,606.7184567280625
0.55,-2448355564.03194,565.4694728432506
0.6000000000000001,-2459335295.1313477,560.4237558312792
0.65,-2467173644.75328,554.5839051306344
0.7000000000000001,-2472071459.1138654,550.5484093772817
0.75,-2474659453.5356326,543.1120602911296
0.8,-2475141131.772974,534.7748966605216
0.8500000000000001,-2473519111.85253,530.8569185459351
0.9,-2470035656.4358873,322.09053460352663
0.9500000000000001,-2464946690.0969224,322.76971620838594
