solar_ratio,objective_value,drought_mass
0.0,-1805203184.0616658,1542.733833355156
0.05,-1831851592.9377646,1457.6651353145714
0.1,-1857878319.1155422,1352.2511566021428
0.15000000000000002,-1883188117.2497826,1319.3045294455962
0.2,-1907719326.2442555,1311.772368159445
0.25,-1931275493.9011426,1295.666650179675
0.30000000000000004,-1953758871.8899887,808.639686169271
0.35000000000000003,-1974957445.9976737,774.6486818748376
0.4,-1994592647.7153947,737.9431719530838
0.45,-2012613709.5403337,590.8750688297406
0.5,-2028482878.5178797,502.31862448381327
0.55,-2042140725.2520401,486.43138964136136
0.6000000000000001,-2053217929.1649148,466.91769046481676
0.65,-2061211601.3771894,443.7540381618854
0.7000000000000001,-2066056935.570394,414.3074334724079
0.75,-2068285651.5705826,403.6512014775996
0.8,-2068184287.5279255,271.25419143942764
0.8500000000000001,-2066108886.1114314,244.72460249445137
0.9,-2062200546.9206927,243.35562560914408
0.9500000000000001,-2056512851.326502,283.7363450829384
