solar_ratio,objective_value,drought_mass
0.0,-1788142655.3020985,2009.2030236207167
0.05,-1819291901.026983,1852.3223896917023
0.1,-1849916525.0955691,1770.8530829517165
0.15000000000000002,-1879911546.9402208,1412.2453424304585
0.2,-1909187116.9392474,1394.0741721011889
0.25,-1937493462.1576755,1374.71542019624
0.30000000000000004,-1964892500.8178973,1328.7059017467275
0.35000000000000003,-1991114495.61499,1220.8578682470704
0.4,-2015983177.6093342,961.8697701541105
0.45,-2039248556.7801704,935.6091140981371
0.5,-2060455685.113645,912.2054642441994
0.55,-2079206958.994009,665.2374051896388
0.6000000000000001,-2094705623.1258214,471.0072991292316
0.65,-2106166448.6537728,423.4312830843805
0.7000000000000001,-2113141755.919256,388.0890521004944
0.75,-2116088473.3813546,377.26891104480364
0.8,-2115915376.6985288,302.78251595120275
0.8500000000000001,-2113336720.3113282,300.16857306516374
0.9,-2108875020.133409,297.16061905040857
0.9500000000000001,-2102674074.9156048,296.6494137039703
