solar_ratio,objective_value,drought_mass
0.0,-1700181021.4252782,2293.0827465446773
0.05,-1729477311.9920313,2225.2510046522134
0.1,-1758256313.9350526,2160.3322308850916
0.15000000000000002,-1786387727.7587004,2089.4620471678295
0.2,-1813785856.2615879,1650.4220922439588
0.25,-1840389268.9905283,1332.4506505329036
0.30000000000000004,-1866040409.1255581,1079.0691840310137
0.35000000000000003,-1890479560.1696522,1048.4984254908231
0.4,-1913462995.1259425,919.1486637324929
0.45,-1934748111.4427516,899.0851849028518
0.5,-1953953803.7157538,830.2242498931454
0.55,-1970598835.0730479,729.6123037874464
0.6000000000000001,-1984135394.1279337,594.2808116506857
0.65,-1994028435.3647459,510.5892679770146
0.7000000000000001,-2000139486.1721637,451.53894176198634
0.75,-2002576555.8964972,446.96640552463106
0.8,-2002096830.461357,442.54848265866207
0.8500000000000001,-1999075810.5219362,438.0255211617785
0.9,-1993952689.229382,295.27327484314054
0.9500000000000001,-1987165267.754653,291.4727420128636
