solar_ratio,objective_value,drought_mass
0.0,-1642884533.4413304,1577.4377987104679
0.05,-1669140357.2146106,1544.5958488970616
0.1,-1694731534.6308596,1492.644883794559
0.15000000000000002,-1719542593.3257396,1314.2483972727375
0.2,-1743476573.0623982,1279.2101144781188
0.25,-1766462098.8981903,811.721928711231
0.30000000000000004,-1788356347.894795,725.4281900774031
0.35000000000000003,-1808963369.113151,485.77710721204795
0.4,-1827997739.8691134,419.32933585880113
0.45,-1845087541.8648827,400.842729245865
0.5,-1859789307.0673501,378.5244649340529
0.55,-1871690080.4969034,362.69378992960196
0.6000000000000001,-1880506849.7033687,343.1563702286705
0.65,-1886108829.5402567,273.96172421072055
0.7000000000000001,-1888871039.528488,268.88079454986456
0.75,-1889435700.2561457,265.0792512644518
0.8,-1888085197.5775084,246.24901887844874
0.8500000000000001,-1884957800.6668434,289.99853402812397
0.9,-1880157192.7753196,378.04286327506185
0.9500000000000001,-1873761826.048872,456.34830978527583
