solar_ratio,objective_value,drought_mass
0.0,-2317632903.201078,1686.76123148649
0.05,-2346600762.536903,1618.7216334729337
0.1,-2374868237.451228,1540.4032874586546
0.15000000000000002,-2402383929.6054287,1492.0616957876161
0.2,-2429064414.549599,1168.7594845542887
0.25,-2454762808.621799,1068.0355699238505
0.30000000000000004,-2479244168.804357,1002.6397153528843
0.35000000000000003,-2502444549.930563,696.7275662876874
0.4,-2524000567.1048474,485.3672660528761
0.45,-2543673068.7525682,301.36369732525935
0.5,-2561161940.2895107,253.10647472239373
0.55,-2576086159.5711884,248.8509897262587
0.6000000000000001,-2587949757.6095047,246.40356336754647
0.65,-2596423274.294782,243.85558257579643
0.7000000000000001,-2601930912.6370063,242.02043568851698
0.75,-2604970156.7816024,271.2464512496159
0.8,-2605925875.8759146,263.4283709641796
0.8500000000000001,-2604901497.7950673,220.82099859106867
0.9,-2602011941.7421327,167.02881829823843
0.9500000000000001,-2597486007.439952,172.44222609221814
